期号,日期,开奖号码
24095,2024-04-14,"['1', '7', '5']"
24094,2024-04-13,"['2', '7', '1']"
24093,2024-04-12,"['9', '3', '5']"
24092,2024-04-11,"['1', '5', '0']"
24091,2024-04-10,"['1', '9', '6']"
24090,2024-04-09,"['2', '0', '6']"
24089,2024-04-08,"['1', '1', '7']"
24088,2024-04-07,"['8', '1', '9']"
24087,2024-04-06,"['1', '6', '1']"
24086,2024-04-05,"['2', '7', '8']"
24085,2024-04-04,"['4', '9', '3']"
24084,2024-04-03,"['5', '4', '9']"
24083,2024-04-02,"['2', '3', '2']"
24082,2024-04-01,"['5', '7', '1']"
24081,2024-03-31,"['9', '2', '8']"
24080,2024-03-30,"['0', '1', '2']"
24079,2024-03-29,"['8', '8', '9']"
24078,2024-03-28,"['1', '2', '6']"
24077,2024-03-27,"['6', '2', '6']"
24076,2024-03-26,"['9', '6', '8']"
24075,2024-03-25,"['2', '8', '5']"
24074,2024-03-24,"['6', '2', '9']"
24073,2024-03-23,"['5', '9', '0']"
24072,2024-03-22,"['3', '4', '1']"
24071,2024-03-21,"['2', '5', '8']"
24070,2024-03-20,"['8', '9', '1']"
24069,2024-03-19,"['4', '1', '1']"
24068,2024-03-18,"['2', '3', '9']"
24067,2024-03-17,"['5', '4', '9']"
24066,2024-03-16,"['8', '0', '3']"
24065,2024-03-15,"['9', '0', '3']"
24064,2024-03-14,"['1', '3', '2']"
24063,2024-03-13,"['6', '5', '1']"
24062,2024-03-12,"['7', '8', '4']"
24061,2024-03-11,"['2', '5', '0']"
24060,2024-03-10,"['3', '5', '7']"
24059,2024-03-09,"['6', '2', '9']"
24058,2024-03-08,"['0', '6', '5']"
24057,2024-03-07,"['7', '6', '5']"
24056,2024-03-06,"['7', '8', '8']"
24055,2024-03-05,"['1', '7', '3']"
24054,2024-03-04,"['2', '2', '1']"
24053,2024-03-03,"['9', '5', '8']"
24052,2024-03-02,"['9', '9', '5']"
24051,2024-03-01,"['6', '7', '4']"
24050,2024-02-29,"['4', '9', '5']"
24049,2024-02-28,"['6', '3', '1']"
24048,2024-02-27,"['3', '9', '6']"
24047,2024-02-26,"['7', '6', '0']"
24046,2024-02-25,"['7', '0', '2']"
24045,2024-02-24,"['7', '5', '7']"
24044,2024-02-23,"['8', '8', '5']"
24043,2024-02-22,"['2', '9', '6']"
24042,2024-02-21,"['3', '4', '2']"
24041,2024-02-20,"['9', '0', '5']"
24040,2024-02-19,"['5', '1', '4']"
24039,2024-02-18,"['5', '0', '8']"
24038,2024-02-07,"['5', '2', '9']"
24037,2024-02-06,"['9', '1', '0']"
24036,2024-02-05,"['5', '4', '7']"
24035,2024-02-04,"['3', '0', '6']"
24034,2024-02-03,"['0', '1', '7']"
24033,2024-02-02,"['7', '3', '9']"
24032,2024-02-01,"['8', '0', '5']"
24031,2024-01-31,"['6', '8', '2']"
24030,2024-01-30,"['9', '5', '1']"
24029,2024-01-29,"['5', '7', '5']"
24028,2024-01-28,"['2', '5', '9']"
24027,2024-01-27,"['5', '0', '2']"
24026,2024-01-26,"['7', '5', '1']"
24025,2024-01-25,"['3', '1', '4']"
24024,2024-01-24,"['1', '9', '9']"
24023,2024-01-23,"['7', '9', '3']"
24022,2024-01-22,"['1', '2', '4']"
24021,2024-01-21,"['3', '7', '0']"
